Material,Materialdescription,Price
3100000155    ,ALL PURPOSE FLOUR HAPPYTIME 02 (1 KG) NB,26.67
3100000156    ,ALL PURPOSE FLOUR HAPPYTIME02(22.5 KG)NB,16.31
3100000157    ,ALL PURPOSE FLOUR PATONGGO (1 KG) NB,27.64
3100000158    ,ALL PURPOSE FLOUR HAPPYTIME 04 (1 KG) NB,26.53
3100000159    ,ALL PURPOSE FLOUR HAPPYTIME 04 (22.5) NB,15.83
3100000160    ,NOODLE FLOUR GOLDENTIME 02 (22.5 KG) NB,18.98
3100000161    ,NOODLE FLOUR GOLDENTIME 03 (22.5 KG) NB,19.35
3100000162    ,NOODLE FLOUR GOLDENTIME 04 (22.5 KG) NB,19.27
3100000163    ,BISCUITS FLOUR PARTYTIME 01 (22.5 KG) NB,16.31
3100000164    ,BISCUITS FLOUR PARTYTIME 04 (22.5 KG) NB,15.97
3100000165    ,BREAD FLOUR BAKER'STIME 01 (1 KG) NB,29.76
3100000166    ,BISCUIT FLOUR PARTYTIME BC1 (25.0 KG) NB,15.75
3100000167    ,F3 FOOD (25 KG) NB,16.05
3100000168    ,ALL PURPOSE FLOUR HAPPYTIME NL1 (BULK),15.74
3100000169    ,ALL PURPOSE FLOUR HAPPYTIME NL1(25 KG)NB,15.95
3100000170    ,ALL PURPOSE FLOUR HAPPYTIME NL1 (22.5KG),16.02
3100000171    ,BREAD FLOUR BAKER'STIME 03 (25 KG) NB,18.64
3100000172    ,F3 FOOD (22.5 KG) NB,16.13
3100000182    ,ALL PURPOSE FLOUR HAPPYTIMEURC(22.5KG)NB,17.49
3100000183    ,BREAD FLOUR BAKER'STIME 01 (22.5 KG) NB,19.42
3100000184    ,ALL PURPOSE FLOUR HAPPYTIME 05(22.5KG),16.05
3100000192    ,PREMIX FLOUR EZYTIME-FCK-ORI (1 KG),36.76
3100000193    ,PREMIX FLOUR EZYTIME-CPY-ORI (1 KG),44.7
3100000194    ,FEED,17.45
3100000202    ,BISCUITS FLOUR PARTYTIME BP1 (22.5 KG)NB,16.14
3100000203    ,Flour-Bread6,0
3100000204    ,BREAD FLOUR BAKER'STIME 03 (1 KG) NB,29.4
3100000205    ,BISCUIT FLOUR PARTYTIME 01 (BULK),15.47
3100000206    ,BISCUIT FLOUR PARTYTIME BP1 (25KG) NB,16.09
3100000207    ,BREAD FLOUR BAKER'STIME 05 (22.5 KG),18.73
3100000208    ,BREAD FLOUR BAKER'STIME 05 (22.5 KG) NB,18.62
3100000209    ,ALL PURPOSE FLOUR PATONGGO (22.5 KG) NB,0
3100000210    ,BREAD FLOUR BAKER'STIME 05 (SEMI),17.38
3100000211    ,BREAD FLOUR BAKER'STIME PP1 (22.5 KG) NB,18.18
3100000212    ,VITAL FLOUR G.28 (F) (25KG) NB,15.33
3200000001    ,AUSTRALIAN HARD 13%,0
3200000002    ,AUSTRALIAN HARD 12%,0
3200000003    ,AUSTRALIAN PRIME HARD 14%,16.47
3200000004    ,AUSTRALIAN PRIME HARD 13.5%,20.06
3200000005    ,AUSTRALIAN PRIME HARD 13%,0
3200000006    ,AUSTRALIAN PREMIUM WHITE 10.5%,11.83
3200000007    ,AUSTRALIAN STANDARD WHITE 10%,11.56
