Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
4215    ,PL-DNS(BREAD),80.00,70.613,70.499,3.553,73.094, 11.10 , 15.20 , 13.50 ,
4216    ,PL-C/P 2,80.00,73.472,73.058,4.418,75.972, 10.40 , 15.50 , 13.00 ,
4225    ,PL-APW10.5%,80.00,72.520,71.555,2.964,72.266, 11.20 , 15.00 , 13.40 ,
4226    ,PL-VT28,80.00,84.479,85.361,5.084,88.272, - , - , 13.58 ,
4227    ,PL-VT28,90.00,85.093,85.725,4.931,88.601, 10.50 , 15.90 , 13.40 ,
4228    ,PL-C/P(NOODLE),80.00,73.507,73.623,4.155,75.128, 10.90 , 15.87 , 13.45 ,
4235    ,PL-ASW,80.00,48.646,48.867,2.349,50.166, 10.80 , 15.40 , 13.50 ,
4233    ,VITAL WHOLE WHEAT,750.00,768.871,768.034,0.019,784.182, - , - , - ,
4245    ,PL-VT28,90.00,82.909,83.807,4.774,86.725, 10.80 , 16.00 , 13.90 ,
4237    ,PL-APW10.5%,90.00,82.662,81.970,3.289,82.277, 11.30 , 15.10 , 13.65 ,
4238    ,PL-DNS(BREAD),80.00,75.264,74.640,3.828,76.451, 11.10 , 15.50 , 13.80 ,
4239    ,PL-DNS(BREAD),80.00,72.626,72.295,3.646,73.589, 14.70 , 15.40 , 13.80 ,
4246    ,PL-VT28,80.00,85.294,86.241,4.611,89.541, 10.70 , 15.60 , 13.30 ,
4229    ,PL-C/P(NOODLE),90.00,81.891,83.294,3.812,84.313, 11.30 , 14.80 , 13.80 ,
4247    ,PL-VT28,80.00,75.288,76.062,4.045,79.257, 10.80 , 15.50 , 13.40 ,
4255    ,PL-DNS(BREAD),80.00,71.874,71.558,3.581,73.864, 11.20 , - , 13.35 ,
4256    ,PL-VT28,80.00,85.318,86.481,4.670,90.152, 11.10 , 15.30 , 13.30 ,
4258    ,PL-VT28,90.00,85.299,86.548,4.621,90.143, 10.55 , 15.30 , 13.33 ,
4259    ,PL-VT28,80.00,75.265,76.072,4.131,79.584, - , 15.60 , 13.28 ,
4260    ,PL-VT28,80.00,75.238,75.694,4.226,79.339, 11.00 , 15.75 , 13.35 ,
4265    ,PL-VT28,90.00,84.369,84.674,4.835,88.890, 10.70 , 15.50 , 13.35 ,
4273    ,PL-APW10.5%,90.00,80.366,80.174,3.125,80.364, 11.55 , - , - ,
4272    ,PL-C/P(NOODLE),80.00,84.218,85.818,3.900,87.284, 11.40 , 15.40 , 13.55 ,
4282    ,PL-DNS(BREAD),80.00,72.139,72.101,3.498,74.582, 10.75 , 15.40 , 13.05 ,
4285    ,PL-VT28,80.00,73.237,74.985,4.207,77.686, 10.60 , 15.90 , 13.40 ,
4286    ,PL-DNS(BREAD),80.00,72.133,72.431,3.556,75.416, 10.70 , 15.10 , - ,
4274    ,PL-C/P(NOODLE),80.00,70.566,71.311,3.467,69.852, 10.45 , 15.10 , 13.40 ,
4289    ,PL-ASW,80.00,73.586,73.286,3.566,74.689, 10.55 , 14.70 , 13.30 ,
4290    ,PL-UW 12.5,60.00,70.276,68.795,3.180,72.104, 10.90 , 15.50 , 13.23 ,
4297    ,PL-DNS(BREAD),70.00,57.697,58.169,2.994,59.506, 11.30 , 15.50 , 13.45 ,
4294    ,VITAL WHOLE WHEAT,1250.00,1198.740,1198.758,0.004,"1,217.510", - , - , - ,
4266    ,PL-VT28,80.00,49.209,49.785,2.759,51.977, - , 16.00 , 13.80 ,
4299    ,PL-APW10.5%,90.00,83.115,83.642,3.349,83.771, 11.65 , 15.20 , 13.80 ,
4267    ,PL-VT28,80.00,73.502,74.453,4.241,76.055, 10.70 , 16.00 , 13.90 ,
4300    ,PL-APW10.5%,90.00,82.959,81.969,3.387,82.616, 11.85 , 15.50 , 13.95 ,
4309    ,PL-APH 14,90.00,82.475,81.872,4.234,83.324, 10.70 , 16.00 , 13.70 ,
4310    ,PL-ASW,80.00,74.325,74.253,3.483,74.416, 11.10 , 14.60 , 13.57 ,
4298    ,PL-VT28,50.00,72.750,73.309,4.134,75.892, 11.13 , 15.90 , 13.50 ,
4325    ,PL-DNS(BREAD),90.00,82.169,81.942,3.956,85.423, 11.50 , 15.40 , 13.50 ,
4311    ,PL-VT28,80.00,75.303,76.068,4.155,78.919, 10.70 , 15.40 , 13.35 ,
4326    ,PL-VT34,80.00,75.230,76.588,4.482,79.420, 10.70 , 15.20 , 13.35 ,
4327    ,PL-APH 14,90.00,50.286,50.399,2.663,51.383, - , 15.40 , 13.40 ,
4320    ,PL-VT28,80.00,75.262,75.758,4.375,78.535, 10.95 , 15.50 , 13.60 ,
4328    ,PL-VT28,80.00,75.252,76.429,4.430,79.791, 11.00 , 15.70 , 13.40 ,
4332    ,PL-VT28,80.00,75.289,76.407,4.388,79.505, 10.60 , 15.70 , 13.40 ,
4333    ,PL-VT28,80.00,80.299,81.674,4.813,85.518, 10.90 , 15.70 , 13.40 ,
4337    ,PL-UW 12.5,80.00,73.825,72.996,3.579,77.175, 10.75 , 15.40 , 13.70 ,
4319    ,PL-ASW,90.00,85.137,84.579,4.259,88.275, 10.70 , 14.90 , 13.35 ,
4338    ,PL-VT28,80.00,71.112,71.695,4.346,74.286, 10.65 , 15.50 , 13.60 ,
4340    ,PL-APW10.5%,90.00,82.756,81.270,3.371,84.157, 11.50 , 14.90 , 13.50 ,
4341    ,PL-DNS(BREAD),80.00,74.287,74.200,3.502,76.229, 11.27 , 15.60 , 13.20 ,
4354    ,PL-DNS(BREAD),90.00,83.997,83.949,4.003,87.505, 11.10 , 15.40 , 13.47 ,
4339    ,PL-VT28,80.00,73.209,74.334,4.545,77.964, 10.50 , 16.00 , 13.35 ,
4353    ,PL-APW10.5%,90.00,74.004,73.561,2.983,74.414, 11.05 , 15.30 , 13.35 ,
4351    ,PL-VT28,80.00,75.276,76.229,4.565,79.016, 10.40 , 15.90 , 13.45 ,
4352    ,PL-VT28,80.00,75.256,76.498,4.621,80.474, 10.85 , 15.90 , 13.45 ,
4359    ,PL-VT28,80.00,69.824,71.091,4.327,74.723, 10.85 , - , 13.35 ,
4350    ,PL-APH 14,80.00,67.373,67.462,3.904,68.108, 10.55 , - , - ,
4365    ,VITAL WHOLE WHEAT,700.00,726.108,724.127,0.001,727.680, - , - , - ,
4372    ,PL-VT34,80.00,73.288,74.144,4.253,76.946, 10.40 , 15.70 , 13.50 ,
4373    ,PL-APH 14,90.00,82.738,83.104,5.137,84.198, 10.15 , 14.80 , 13.50 ,
4381    ,PL-CWRS 13.5%,80.00,73.750,74.010,2.872,76.784, 11.10 , 15.60 , 13.40 ,
4374    ,PL-ASW,80.00,75.306,76.292,3.898,78.376, 10.45 , 15.10 , 13.50 ,
4375    ,PL-APW10.5%,80.00,69.139,69.455,3.226,71.279, 11.00 , 15.10 , 13.55 ,
4384    ,PL-DNS(BREAD),90.00,82.579,82.430,3.993,83.700, 11.20 , 15.60 , 13.40 ,
4385    ,PL-VT28,80.00,75.269,75.863,3.717,78.910, 11.30 , 15.90 , 13.57 ,
4386    ,PL-VT28,80.00,76.390,77.151,3.558,79.841, 12.05 , 15.50 , 13.30 ,
4383    ,PL-DNS(BREAD),90.00,79.980,79.368,3.793,81.575, 11.40 , 15.40 , 13.30 ,
4390    ,PL-VT28,80.00,75.259,75.966,3.446,78.798, 11.95 , 15.80 , 13.60 ,
4391    ,PL-VT28,80.00,69.833,70.718,3.163,73.939, 11.80 , 16.00 , 13.50 ,
4376    ,PL-APH 14,90.00,77.273,77.043,5.026,80.123, 9.95 , 15.60 , 13.45 ,
4392    ,PL-VT28,80.00,75.586,76.057,3.357,79.426, 11.70 , 16.00 , 13.65 ,
4393    ,PL-VT34,80.00,73.695,73.816,3.987,78.230, 11.45 , 16.40 , 13.85 ,
4394    ,PL-APH 14,90.00,81.337,81.664,5.145,82.602, 10.35 , 15.50 , 13.30 ,
4397    ,PL-VT34,80.00,72.811,72.746,3.877,76.423, 11.20 , 16.30 , 13.80 ,
4399    ,PL-CWRS 13.5%,80.00,74.083,74.789,2.894,76.513, 11.80 , 15.70 , 13.50 ,
4398    ,PL-VT28,90.00,83.912,84.256,3.882,88.495, 11.65 , 15.70 , 13.55 ,
4404    ,PL-VT28,80.00,75.627,76.494,3.500,79.753, 11.65 , 16.00 , 13.65 ,
4405    ,PL-VT28,80.00,74.977,75.532,3.517,78.930, 11.70 , 15.80 , 13.60 ,
4409    ,PL-VT28,80.00,74.770,75.118,3.531,79.093, 11.80 , 15.90 , 13.45 ,
4410    ,PL-APW10.5%,80.00,73.287,74.845,3.394,76.240, 10.55 , 15.30 , 13.45 ,
4406    ,PL-APH 14,90.00,82.823,82.484,5.291,84.146, 10.00 , 15.50 , 13.45 ,
4418    ,PL-DNS(BREAD),80.00,71.941,72.136,3.385,74.360, 11.30 , 15.40 , 13.30 ,
4419    ,PL-APH 14,90.00,82.848,82.415,5.261,85.218, 10.05 , 15.40 , 13.30 ,
4433    ,PL-DNS(BREAD),90.00,80.280,79.788,3.909,79.499, 11.10 , 15.40 , 13.27 ,
4434    ,PL-DNS(BREAD),80.00,70.465,70.806,3.478,73.203, 10.75 , 15.70 , 13.30 ,
4435    ,PL-VT34,70.00,65.310,65.012,3.346,69.775, 11.65 , 15.60 , 13.25 ,
4440    ,VITAL WHOLE WHEAT,700.00,694.699,691.103,0.000,705.830, - , - , - ,
4449    ,PL-VT34,90.00,84.336,84.193,4.605,89.817, 11.60 , 16.10 , 13.50 ,
4450    ,PL-UW 12.5,80.00,85.704,84.119,2.895,88.653, 12.20 , 15.95 , 14.00 ,
4451    ,PL-DNS(BREAD),80.00,81.671,81.281,4.349,84.922, 11.00 , 15.90 , 13.63 ,
4452    ,PL-VT34,80.00,73.375,73.981,4.012,77.603, 11.60 , 15.90 , 13.50 ,
4453    ,PL-APW10.5%,90.00,85.303,82.701,4.679,87.965, - , 15.90 , 13.95 ,
4454    ,PL-CWRS 13.5%,80.00,74.240,73.993,3.257,76.342, 11.65 , 15.90 , 13.50 ,
4458    ,PL-ASW,80.00,81.438,80.914,4.282,84.647, 10.60 , 14.90 , 13.40 ,
4460    ,PL-VT28,60.00,50.268,49.018,2.464,52.916, 11.40 , 16.10 , 13.70 ,
4459    ,PL-APH 14,80.00,78.197,77.001,4.586,79.666, 10.70 , 16.00 , 13.50 ,
4466    ,PL-APW10.5%,90.00,66.176,65.020,3.463,68.500, 10.95 , 15.75 , 13.70 ,
4467    ,PL-DNS(BREAD),80.00,72.558,72.171,3.957,74.016, 11.00 , 16.20 , 13.63 ,
4468    ,PL-DNS(BREAD),80.00,72.809,72.202,4.168,76.281, 11.50 , 15.40 , 13.65 ,
4478    ,PL-APH 14,90.00,82.084,82.407,4.791,83.143, 10.90 , 15.70 , 13.33 ,
4292    ,PL-VT28,80.00,75.261,75.847,3.819,79.760, 11.80 , 15.90 , 13.90 ,
4363    ,PL-VT28,80.00,75.260,76.016,3.756,79.746, 11.70 , 16.10 , 14.00 ,
4484    ,PL-CWRS 13.5%,90.00,83.162,80.415,4.254,88.139, 11.30 , 15.60 , 13.45 ,
4485    ,PL-VT28,80.00,69.376,70.469,2.769,73.058, 12.40 , 16.40 , 13.90 ,
4486    ,PL-VT28,80.00,75.262,74.580,3.346,79.051, 11.70 , 16.00 , 13.50 ,
4492    ,PL-VT28,90.00,57.466,56.662,2.704,60.608, 11.70 , 15.40 , 13.35 ,
4499    ,PL-DNS(BREAD),80.00,75.374,75.109,3.756,78.377, 11.20 , 15.20 , 13.50 ,
4500    ,PL-DNS(BREAD),90.00,81.401,81.017,4.049,84.590, 11.30 , 15.20 , 13.40 ,
4503    ,PL-APW10.5%,80.00,74.198,73.882,3.797,77.219, 11.10 , 15.30 , 13.45 ,
4501    ,PL-ASW,80.00,68.776,67.941,3.668,71.282, 10.85 , 15.40 , 13.65 ,
4502    ,PL-APH 14,90.00,78.228,77.994,5.509,79.162, 9.90 , 16.00 , 13.50 ,
4504    ,PL-APW10.5%,80.00,78.957,78.482,4.143,80.909, 11.20 , 15.85 , 13.80 ,
4515    ,PL-DNS(BREAD),80.00,77.598,78.216,3.911,80.028, 10.95 , 15.40 , 13.45 ,
4522    ,PL-DNS(BREAD),80.00,77.037,76.470,3.915,79.202, 11.15 , 15.50 , 13.30 ,
4523    ,PL-VT34,80.00,78.207,78.930,4.960,84.558, 11.00 , 16.00 , 13.50 ,
4526    ,PL-CWRS 13.5%,60.00,59.023,58.779,2.971,62.504, 11.00 , 15.90 , 13.40 ,
4530    ,VITAL WHOLE WHEAT,1150.00,923.889,923.889,0.000,946.390, - , - , - ,
4493    ,PL-VT28,80.00,75.291,74.617,3.425,79.076, 11.90 , 16.20 , 13.80 ,
4494    ,PL-VT28,80.00,75.302,74.635,3.277,79.150, 11.75 , 16.00 , 13.75 ,
4420    ,PL-VT28,80.00,75.289,74.749,3.180,79.090, 11.70 , 15.60 , 13.50 ,
4556    ,PL-VT28,90.00,85.297,84.715,3.510,89.540, 11.80 , 15.63 , 13.50 ,
4557    ,PL-VT28,80.00,70.040,69.645,2.923,73.480, 11.80 , 15.40 , 13.40 ,
4548    ,PL-APH 14,80.00,72.492,73.665,5.354,74.560, 10.10 , 16.00 , 13.45 ,
4547    ,PL-VT34,80.00,72.005,71.310,4.035,77.132, 11.40 , 16.20 , 13.50 ,
4549    ,PL-APW10.5%,90.00,77.075,78.130,3.436,76.788, 11.40 , 15.40 , 13.55 ,
4558    ,PL-ASW,80.00,70.350,70.024,3.813,72.539, 10.85 , 15.30 , 13.35 ,
4555    ,PL-VT28,90.00,75.351,74.901,3.316,79.589, 11.90 , 15.95 , 13.35 ,
4559    ,PL-DNS(BREAD),80.00,72.315,72.530,3.769,76.135, 11.25 , 15.80 , 13.45 ,
4565    ,PL-CWRS 13.5%,90.00,80.727,81.986,3.984,84.817, 11.65 , 15.60 , 13.65 ,
4566    ,PL-VT28,80.00,85.310,85.274,3.781,88.609, 11.75 , - , - ,
4567    ,PL-VT28,80.00,75.364,77.035,3.324,79.309, 11.73 , 15.80 , 13.15 ,
4575    ,PL-VT28,90.00,85.283,85.635,3.888,90.006, 11.40 , 15.70 , 13.25 ,
4578    ,PL-VT34,80.00,73.426,74.366,3.926,77.635, 11.70 , 16.40 , 13.90 ,
4576    ,PL-VT28,90.00,80.262,81.844,3.948,84.648, 11.40 , 16.10 , 13.35 ,
4579    ,PL-VT28,80.00,75.367,75.300,3.462,79.145, 11.30 , 15.65 , 13.45 ,
4580    ,PL-VT28,80.00,75.330,76.311,3.189,78.869, 11.40 , 15.60 , 15.60 ,
4581    ,PL-VT28,80.00,85.329,85.562,4.494,89.446, 11.50 , 15.90 , 13.60 ,
4582    ,PL-VT28,80.00,73.688,74.251,3.957,77.126, 11.30 , 15.90 , 13.50 ,
4583    ,PL-DNS(BREAD),90.00,82.498,82.968,4.544,86.004, 10.96 , 15.80 , 13.40 ,
4586    ,PL-UW 12.5,80.00,75.230,74.860,3.023,78.789, 12.10 , 16.00 , 13.80 ,
4584    ,PL-DNS(BREAD),90.00,82.498,83.253,4.485,86.025, 10.80 , 15.90 , 13.45 ,
4585    ,PL-APH 14,80.00,73.057,72.657,5.033,74.301, 9.90 , 15.90 , 13.90 ,
4596    ,PL-APW10.5%,90.00,82.880,83.101,4.352,85.170, 11.40 , 15.80 , 13.70 ,
4597    ,PL-DNS(BREAD),80.00,74.555,74.579,3.882,76.810, 11.40 , 15.90 , 13.45 ,
4603    ,PL-CWRS 13.5%,60.00,87.111,87.199,4.446,91.855, 11.53 , 16.15 , 13.85 ,
4598    ,PL-DNS(BREAD),80.00,71.954,74.951,3.713,77.114, 11.03 , 15.90 , 13.33 ,
4612    ,PL-DNS(BREAD),80.00,122.178,123.572,6.154,129.405, 11.23 , 15.90 , 13.45 ,
4614    ,VITAL WHOLE WHEAT,700.00,739.582,737.110,0.000,749.840, - , - , - ,
4620    ,PL-VT28,80.00,72.023,70.681,3.530,73.812, 11.50 , 15.90 , 13.50 ,
4621    ,PL-APH 14,90.00,84.720,82.615,5.613,85.341, 9.75 , 15.75 , 13.50 ,
4622    ,PL-APW10.5%,80.00,74.690,72.722,3.714,75.540, 11.00 , 15.40 , 13.70 ,
4628    ,PL-CWRS 13.5%,70.00,70.203,69.771,3.510,73.595, 11.35 , 15.80 , 13.50 ,
4629    ,PL-DNS(BREAD),90.00,83.258,83.841,4.322,86.662, 11.33 , 15.70 , 13.20 ,
4630    ,PL-DNS(BREAD),90.00,82.708,81.877,4.078,86.081, 11.40 , 15.70 , 13.43 ,
4577    ,PL-VT28,80.00,125.546,125.189,6.455,130.841, 11.40 , 15.70 , 13.23 ,
4639    ,PL-DNS(BREAD),80.00,72.442,71.841,3.545,75.297, 11.35 , 15.60 , 13.00 ,
4605    ,PL-VT28,90.00,85.313,85.581,4.669,88.935, 11.05 , 15.70 , 13.33 ,
4604    ,PL-VT28,50.00,85.374,85.804,4.916,89.644, 11.10 , 16.00 , 13.33 ,
4606    ,PL-VT28,80.00,75.352,75.993,4.241,79.254, 11.05 , 16.00 , 13.30 ,
4642    ,PL-VT28,80.00,75.354,75.515,4.283,80.027, 11.20 , - , 13.33 ,
4644    ,PL-VT28,90.00,85.347,85.854,5.030,91.137, 11.03 , 16.00 , 13.40 ,
4645    ,PL-VT28,80.00,75.347,75.415,4.349,79.969, 11.15 , 15.80 , 13.40 ,
4646    ,PL-VT28,80.00,74.125,74.338,4.252,78.705, 11.10 , 15.60 , 13.30 ,
4653    ,PL-VT28,90.00,80.349,81.062,4.381,84.919, 10.90 , 15.90 , 13.30 ,
4654    ,PL-VT28,80.00,72.963,73.483,3.839,76.998, 11.13 , 15.70 , 13.27 ,
4514    ,PL-APW10.5%,80.00,69.075,68.440,3.825,71.674, - , 15.20 , 13.40 ,
4667    ,PL-VT28,90.00,84.231,84.367,5.042,88.351, 11.00 , 15.40 , 13.60 ,
4668    ,PL-VT28,80.00,75.241,76.023,4.635,81.340, 10.90 , 15.70 , 13.55 ,
4671    ,PL-VT28,80.00,75.251,76.123,4.373,80.353, 11.00 , 15.90 , 13.40 ,
4684    ,PL-VT28,80.00,80.276,81.206,4.714,85.760, 11.00 , 16.00 , 13.50 ,
4685    ,PL-VT28,80.00,74.706,75.534,4.405,79.635, 10.80 , 16.00 , 13.35 ,
4439    ,PL-VT34,90.00,83.129,81.666,4.299,87.093, - , - , - ,
4697    ,PL-DNS(BREAD),80.00,77.792,78.172,4.020,81.346, 11.20 , 15.50 , 13.35 ,
4698    ,PL-APH 14,90.00,85.336,84.893,5.861,88.486, 9.80 , 15.60 , 13.40 ,
4699    ,PL-APW10.5%,80.00,80.774,77.335,4.065,81.628, 10.50 , 15.45 , 13.45 ,
4700    ,PL-ASW,80.00,81.042,79.741,4.866,84.904, 10.60 , 16.00 , 13.85 ,
4701    ,PL-DNS(BREAD),90.00,81.812,81.112,4.515,86.094, 11.40 , 15.80 , 13.65 ,
4702    ,PL-VT28,80.00,75.366,75.424,4.222,79.980, 11.30 , 16.10 , 13.40 ,
4707    ,PL-VT28,90.00,85.349,85.639,4.727,90.375, 11.40 , - , - ,
4708    ,PL-VT28,80.00,75.247,74.974,4.264,79.728, - , 16.10 , 13.40 ,
4709    ,PL-VT28,80.00,65.441,65.070,3.387,69.316, 11.40 , 16.00 , 13.50 ,
4717    ,PL-VT34,80.00,76.864,76.240,4.039,81.511, 11.30 , 15.90 , 13.50 ,
4513    ,PL-APH 14,90.00,75.394,74.025,5.840,81.088, - , - , - ,
4718    ,PL-CWRS 13.5%,80.00,78.759,78.038,3.493,82.343, 10.95 , 15.10 , 13.40 ,
4724    ,PL-VT34,80.00,75.297,74.841,3.853,80.465, 11.10 , 15.50 , 13.30 ,
4725    ,PL-DNS(BREAD),90.00,81.317,80.452,4.622,86.179, 10.90 , 15.65 , 13.50 ,
4728    ,PL-APW10.5%,80.00,74.066,72.015,3.868,78.435, 10.80 , 15.40 , 13.50 ,
4730    ,PL-VT34,80.00,75.401,74.946,3.792,79.591, 11.20 , 15.55 , 13.43 ,
4731    ,PL-APH 14,90.00,83.661,83.390,6.064,90.213, 10.00 , 16.00 , 13.50 ,
4723    ,PL-VT28,80.00,80.231,79.796,4.351,85.478, 11.50 , 15.80 , 13.20 ,
4655    ,PL-VT28,90.00,85.306,85.198,4.576,90.736, - , - , - ,
4694    ,PL-VT28,80.00,75.286,75.347,4.022,80.102, 11.40 , 15.90 , 13.35 ,
4695    ,PL-VT28,80.00,80.279,80.581,4.260,84.579, 11.20 , 15.80 , 13.30 ,
4737    ,PL-VT28,90.00,85.293,83.882,4.534,88.909, 11.50 , 16.00 , 13.50 ,
4748    ,PL-UW 12.5,80.00,75.256,73.229,2.838,77.390, 12.10 , 15.50 , 13.90 ,
4738    ,PL-VT28,80.00,94.254,93.842,5.004,100.488, 11.50 , 16.10 , 13.40 ,
4740    ,PL-APW10.5%,90.00,85.458,82.326,4.301,88.447, 10.60 , 15.00 , 13.35 ,
4741    ,PL-ASW,80.00,90.830,87.346,5.001,92.078, 10.50 , 15.70 , 13.50 ,
4742    ,PL-DNS(BREAD),80.00,72.344,71.386,4.027,76.434, 10.90 , 15.80 , 13.55 ,
4749    ,PL-CWRS 13.5%,80.00,76.935,77.677,3.380,81.375, 11.20 , 15.40 , 13.50 ,
4759    ,VITAL WHOLE WHEAT,1000.00,998.573,982.266,0.012,"1,014.090", - , - , - ,
4739    ,PL-VT28,80.00,80.329,81.537,3.484,84.212, 11.90 , 16.00 , 13.50 ,
4770    ,PL-VT28,90.00,66.757,68.230,3.031,70.451, 12.30 , 16.10 , 13.70 ,
4771    ,PL-APW10.5%,90.00,84.259,82.575,4.386,89.092, - , 15.50 , 13.50 ,
4772    ,PL-CWRS 13.5%,90.00,78.125,77.802,2.642,81.401, 12.30 , 15.40 , 13.55 ,
4672    ,PL-APH 14,90.00,83.667,82.340,5.832,89.547, 10.50 , 16.15 , 13.70 ,
4673    ,PL-VT34,80.00,79.560,80.056,3.518,83.555, - , - , - ,
4787    ,PL-VT28,80.00,75.300,75.884,3.351,79.105, 12.00 , 16.30 , 13.65 ,
4788    ,PL-VT28,80.00,75.502,76.424,3.412,79.387, 11.80 , 16.10 , 13.50 ,
4792    ,PL-APW10.5%,80.00,78.047,77.291,4.328,83.441, 10.80 , 15.30 , 13.45 ,
4797    ,PL-DNS(BREAD),120.00,118.547,117.774,6.202,125.000, 11.30 , 15.70 , 13.60 ,
4798    ,PL-VT28,80.00,80.328,81.530,3.687,84.351, 12.30 , 16.10 , 13.60 ,
4799    ,PL-VT28,50.00,67.393,68.035,2.976,70.674, 12.00 , 16.20 , 13.80 ,
4801    ,PL-VT28,90.00,85.282,85.635,3.860,89.764, 11.80 , 16.00 , 13.50 ,
4802    ,PL-VT28,80.00,75.270,75.777,3.663,79.677, 12.10 , 16.00 , 13.42 ,
4803    ,PL-VT28,80.00,75.014,75.550,3.967,79.657, 11.90 , 16.10 , 13.63 ,
4812    ,PL-CWRS 13.5%,80.00,75.206,74.023,2.542,78.382, 12.70 , 16.00 , 13.75 ,
4813    ,PL-ASW,80.00,84.907,81.530,4.829,89.050, 11.00 , 15.65 , 13.70 ,
4814    ,PL-VT28,90.00,85.274,85.900,4.545,90.831, 11.50 , 16.10 , 13.65 ,
4823    ,PL-VT28,90.00,33.473,33.593,1.812,35.695, - , 15.90 , 13.60 ,
4824    ,PL-APW10.5%,80.00,64.296,64.058,3.536,68.370, 10.40 , 15.15 , 13.55 ,
4825    ,PL-DNS(BREAD),90.00,91.218,89.848,4.764,95.538, 11.20 , 15.80 , 13.60 ,
4687    ,PL-APH 14,80.00,153.947,151.946,11.052,165.208, 10.30 , 16.10 , 13.50 ,
4831    ,PL-VT34,80.00,78.537,75.984,2.379,81.515, 13.00 , 15.70 , 13.70 ,
4832    ,PL-VT28,90.00,83.514,83.789,4.523,89.280, 12.10 , 16.15 , 14.00 ,
4844    ,PL-DNS(BREAD),200.00,200.134,199.665,10.887,209.884, 11.20 , 15.40 , 13.66 ,
4847    ,PL-APW10.5%,50.00,44.990,44.514,2.477,47.749, 10.30 , 15.30 , 13.70 ,
4857    ,PL-VT28,90.00,85.352,86.082,4.321,90.169, 12.20 , 16.60 , 13.80 ,
4858    ,PL-VT28,80.00,69.033,69.734,3.327,73.259, 12.10 , 16.20 , 13.60 ,
4861    ,PL-ASW,80.00,73.182,72.520,4.309,77.626, 10.60 , 15.50 , 13.70 ,
4865    ,PL-APW10.5%,90.00,84.032,83.682,4.881,89.381, 10.80 , 15.50 , 13.65 ,
4863    ,PL-VT28,80.00,75.369,74.475,2.870,78.595, 12.00 , 15.90 , 13.45 ,
4864    ,PL-VT28,80.00,75.319,75.862,2.851,79.035, 11.90 , 15.90 , 13.30 ,
4871    ,PL-VT28,90.00,85.351,86.183,2.921,89.264, 12.30 , 16.00 , 13.27 ,
4872    ,PL-VT28,80.00,73.577,74.893,2.592,77.056, 12.60 , 15.90 , 13.30 ,
4873    ,PL-VT28,80.00,75.296,74.719,2.818,79.090, 12.40 , 16.00 , 13.47 ,
4876    ,PL-APW10.5%,90.00,83.240,85.256,4.954,88.934, 10.70 , 15.70 , 13.60 ,
4881    ,PL-VT34,80.00,75.379,75.554,2.193,78.210, 12.70 , 15.70 , 13.35 ,
4877    ,PL-VT28,80.00,74.633,75.496,3.248,78.483, 11.90 , 15.60 , 13.45 ,
4885    ,PL-ASW,80.00,74.681,73.876,4.302,79.529, 10.50 , 15.80 , 13.65 ,
4890    ,PL-CWRS 13.5%,80.00,72.582,72.346,2.664,75.578, 12.50 , 15.80 , 13.85 ,
4891    ,PL-APW10.5%,50.00,44.885,45.083,2.597,47.585, 10.50 , 15.40 , 13.95 ,
4892    ,PL-ASW,50.00,46.004,45.304,2.771,48.971, 11.00 , 15.00 , 13.80 ,
4790    ,PL-DNS(BREAD),90.00,83.543,83.731,5.590,89.897, 10.30 , 16.20 , 13.65 ,
4898    ,PL-VT34,80.00,71.917,73.504,3.119,75.504, 12.10 , 16.00 , 14.00 ,
4899    ,PL-VT34,80.00,73.801,74.324,2.641,75.487, 12.40 , 16.30 , 13.87 ,
4907    ,PL-APW10.5%,90.00,84.197,86.372,4.612,89.383, 10.70 , 15.30 , 13.70 ,
4908    ,PL-VT28,80.00,70.520,71.287,3.311,74.304, 12.50 , 16.60 , 13.85 ,
4909    ,PL-VT34,80.00,75.238,75.452,2.288,79.126, - , 16.60 , 13.80 ,
4914    ,PL-VT28,90.00,85.337,86.417,4.148,90.072, 12.20 , 16.50 , 13.90 ,
4915    ,PL-VT28,80.00,75.328,76.420,3.610,79.174, 12.40 , 16.80 , 13.90 ,
4916    ,PL-VT28,80.00,75.286,75.838,3.459,79.024, 12.10 , 16.50 , 13.70 ,
4917    ,PL-VT28,90.00,79.872,79.633,3.447,83.580, 12.30 , 16.20 , 13.75 ,
4918    ,PL-VT34,90.00,82.562,83.770,2.613,85.310, 12.70 , 16.40 , 13.90 ,
4920    ,PL-DNS(BREAD),80.00,74.078,76.636,5.982,80.677, 10.70 , 16.30 , 14.05 ,
4921    ,PL-DNS(BREAD),80.00,72.861,75.525,6.200,79.695, 10.60 , 16.95 , 15.00 ,
4919    ,PL-APW10.5%,60.00,54.251,55.404,2.896,57.814, 10.60 , 15.20 , 13.60 ,
4922    ,PL-APH 14,50.00,55.261,54.038,3.772,59.139, 9.90 , 15.70 , 13.50 ,
4929    ,VITAL WHOLE WHEAT,1130.00,1149.421,1139.296,0.171,"1,177.560", - , - , - ,
4951    ,PL-APW10.5%,100.00,84.985,85.288,4.607,89.708, 10.60 , 15.60 , 13.90 ,
