Process Order,Brand Flour,Production Plan (MT),"Weight (MT)
(cleaning scale)","Weight (MT)
(Flow balancer)",Water (MT),"Wheat input 
B1 scale (MT)","Moisture
RM","Moisture
B1/IBK","Moisture F1
LCL = 12.8
UCL = 13.5",
4118    ,PL-C/P(NOODLE),90.00,85.299,88.336,4.136,88.824, 11.35 , 15.30 , 13.60 ,
4121    ,PL-C/P(NOODLE),80.00,75.249,77.536,3.570,77.494, 11.50 , 15.60 , 13.55 ,
4119    ,PL-C/P 2,80.00,68.207,69.799,3.322,70.563, 11.30 , 15.40 , 13.50 ,
4122    ,PL-VT28,80.00,75.266,76.122,3.390,77.900, 11.30 , 15.40 , 13.20 ,
4123    ,PL-VT28,80.00,75.264,76.427,3.902,79.393, 11.10 , 15.40 , 13.30 ,
4114    ,PL-VT28,90.00,69.438,70.631,4.059,73.874, 10.80 , 15.70 , 12.70 ,
4125    ,PL-C/P(NOODLE),90.00,84.517,86.511,4.125,87.898, 11.30 , 15.40 , 13.50 ,
4120    ,PL-APW10.5%,90.00,68.090,67.671,3.859,71.547, 10.50 , 15.10 , 13.50 ,
4132    ,PL-DNS(BREAD),90.00,72.471,73.185,3.755,76.282, 11.00 , 15.55 , 13.65 ,
4115    ,PL-VT28,90.00,72.294,74.076,4.211,76.795, 11.00 , 16.05 , 13.50 ,
4138    ,PL-C/P(NOODLE),90.00,71.764,73.110,3.384,74.586, 11.00 , 16.20 , 13.40 ,
4139    ,PL-DNS(BREAD),80.00,82.431,83.158,3.985,85.909, 11.30 , 15.20 , 13.45 ,
4131    ,PL-UW 12.5,80.00,66.661,67.240,2.625,68.859, 11.00 , 15.00 , 13.15 ,
4134    ,PL-ASW,70.00,69.609,70.893,3.953,71.666, 10.20 , 14.90 , 13.30 ,
4133    ,PL-APW10.5%,90.00,67.965,67.764,3.540,67.177, 10.60 , 15.30 , 13.70 ,
4142    ,PL-VT34,70.00,73.174,74.253,3.982,75.192, 11.40 , 15.80 , 13.45 ,
4141    ,PL-ASW,80.00,59.073,59.680,3.326,58.789, 10.40 , 15.20 , 13.45 ,
4143    ,PL-VT34,40.00,35.886,36.141,2.026,37.016, 10.80 , 15.70 , 13.40 ,
4153    ,PL-DNS(BREAD),70.00,66.777,67.751,3.297,68.904, 11.40 , 15.40 , 13.77 ,
4157    ,PL-APW10.5%,50.00,46.180,45.941,2.140,46.420, 11.10 , 15.50 , 13.45 ,
4158    ,VITAL WHOLE WHEAT,1000.00,1049.199,1041.552,0.001,"1,059.986", - , - , - ,
4168    ,PL-C/P(NOODLE),90.00,85.256,86.665,4.116,86.955, 11.10 , 15.40 , 13.60 ,
4169    ,PL-C/P(NOODLE),80.00,75.226,76.103,4.261,77.000, 10.40 , 15.40 , 13.43 ,
4167    ,PL-APW10.5%,80.00,83.561,83.724,3.623,81.842, 11.50 , 14.90 , 13.70 ,
4174    ,PL-C/P(NOODLE),90.00,80.489,81.760,4.800,84.377, 10.20 , 15.40 , 13.90 ,
4175    ,PL-DNS(BREAD),80.00,72.879,74.189,3.700,73.811, 11.05 , 15.40 , 13.60 ,
4127    ,PL-VT28,80.00,75.344,76.782,3.992,79.070, 11.30 , 15.90 , 13.60 ,
4181    ,PL-VT28,80.00,74.348,75.469,3.996,78.217, 11.30 , 15.60 , 13.55 ,
4182    ,PL-VT28,80.00,75.297,77.103,4.261,79.567, 10.90 , 15.40 , 13.47 ,
4183    ,PL-DNS(BREAD),90.00,83.114,83.248,4.176,84.927, 11.10 , 15.30 , 13.50 ,
4189    ,PL-APW10.5%,90.00,68.646,68.471,3.067,68.088, 11.00 , 15.40 , 13.20 ,
4190    ,PL-ASW,80.00,73.184,73.992,3.933,76.143, 10.85 , 15.10 , 13.50 ,
4191    ,PL-C/P(NOODLE),80.00,71.314,71.942,4.215,73.087, 10.47 , 15.45 , 13.45 ,
4126    ,PL-VT28,80.00,75.278,76.822,4.084,77.849, 10.85 , 15.95 , 13.45 ,
4201    ,PL-UW 12.5,80.00,75.269,75.514,3.214,76.396, 11.15 , 15.40 , 13.30 ,
4202    ,PL-C/P(NOODLE),90.00,78.018,78.856,4.601,80.694, 10.15 , 15.50 , 13.25 ,
4205    ,PL-C/P(NOODLE),90.00,85.239,86.272,5.305,88.542, - , 15.60 , 13.50 ,
4207    ,PL-APW10.5%,80.00,75.892,76.163,3.065,73.753, 10.80 , 15.20 , 13.50 ,
4206    ,PL-C/P(NOODLE),80.00,69.870,70.807,4.104,70.098, 10.10 , 15.50 , 13.55 ,
4224    ,PL-VT28,90.00,75.279,75.776,4.800,80.797, 10.85 , 15.70 , 13.50 ,
4214    ,PL-DNS(BREAD),90.00,85.290,85.815,4.298,88.228, 11.30 , 15.70 , 13.50 ,
