PO,MaterialNO,MaterialDescription,Batch,Date,Movementtype,Storagelocation,Qtyinbaseun.+sign(MEINS),Quantity(/CWM/MEINS),Quantity,Note
2781,3100000117,WIP,2212020021,01/07/2023,261,3001,325,0,325,REPROCESS
2781,3100000117,WIP,2212170031,01/07/2023,261,3001,25,0,25,REPROCESS
2781,3100000117,WIP,2212230010,01/07/2023,261,3001,48.17,0,48.17,REPROCESS
2781,3100000117,WIP,2212230020,01/07/2023,261,3001,113,0,113,REPROCESS
2781,3100000117,WIP,2212260031,01/07/2023,261,3001,25,0,25,REPROCESS
2781,3100000117,WIP,2212270010,01/07/2023,261,3001,136.75,0,136.75,REPROCESS
2788,3100000025,F3-HIGH,230107005A,01/07/2023,101,3404,-5256,0,-5256,
2788,3100000074,WHEAT BRAN,230107002A,01/07/2023,101,4601,-16356,0,-16356,
2788,3100000080,Start up flour,230107004A,01/07/2023,101,3921,-2688,0,-2688,
2788,3100000145,PL-C/P 2,230107004A,01/07/2023,101,3407,-62392,0,-62392,
2788,3100000145,PL-C/P 2,230107004A,01/07/2023,101,3921,-2688,0,-2688,
2788,3100000145,PL-C/P 2,230107004A,01/07/2023,102,3921,2688,0,2688,
2788,3200000003,RM-APH14-AUSTRALIAN PRIME HARD14%,2211220004,01/07/2023,261,3101,11556.9,0,11556.9,1
